date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money
2020-01-03,122630,KODEX 레버리지,2020-01-02,14425,4991050,14305,-1.1306412478336125,4942105.705
2020-01-08,233740,KODEX 코스닥150레버리지,2020-01-07,8358.0,6460734.0,8125.5,-3.077593323761657,6271589.98275
2020-01-14,233740,KODEX 코스닥150레버리지,2020-01-13,8778.0,6328938.0,8819.75,0.17490743905217657,6349501.190375
2020-01-22,122630,KODEX 레버리지,2020-01-21,15475,4874625,15070,-2.913198707592889,4739929.425
2020-02-03,251340,KODEX 코스닥150선물인버스,2020-01-29,7873.0,3361771.0,8121.5,2.851622634319829,3462678.67925
2020-02-06,251340,KODEX 코스닥150선물인버스,2020-02-05,7847.0,4841599.0,7717.0,-1.954199056964444,4754246.9165
2020-02-07,122630,KODEX 레버리지,2020-02-05,14275,4853500,14850,3.721978984238181,5041426.499999998
2020-02-18,233740,KODEX 코스닥150레버리지,2020-02-17,8780.5,6365862.5,8687.0,-1.3632623426911785,6288627.8875
2020-02-28,233740,KODEX 코스닥150레버리지,2020-02-27,8105.0,964495.0,7416.075000000001,-8.787249999999986,881189.1556125002
2020-03-02,251340,KODEX 코스닥150선물인버스,2020-02-27,8000.0,3872000.0,8130.5,1.3288031250000019,3929259.257
2020-03-04,252670,KODEX 200선물인버스2X,2020-02-25,6630,4853160,7125,7.154864253393665,5207676.75
2020-03-04,251340,KODEX 코스닥150선물인버스,2020-03-03,7988.0,4800788.0,8065.5,0.66875,4840094.45175
2020-03-10,122630,KODEX 레버리지,2020-03-04,11995,5205830,11420,-5.086473530637759,4948845.579999999
2020-03-10,251340,KODEX 코스닥150선물인버스,2020-03-06,7987.0,4832135.0,8166.25,1.9409055339927452,4933170.378124999
2020-03-17,251340,KODEX 코스닥150선물인버스,2020-03-11,8202.0,4921200.0,9679.5,17.686878200438922,5798988.450000002
2020-03-20,251340,KODEX 코스닥150선물인버스,2020-03-18,9534.0,5796672.0,9611.75,0.5142791588000835,5835178.084
2020-03-23,252670,KODEX 200선물인버스2X,2020-03-10,7430,4940950,11805,58.494582772543765,7838549.512500003
2020-03-27,233740,KODEX 코스닥150레버리지,2020-03-26,5398.0,4777230.0,5550.0,2.5116339384957427,4904382.375
2020-04-01,233740,KODEX 코스닥150레버리지,2020-03-30,5492.187845303867,4866078.430939226,6162.5,11.88652211679876,5451785.037500001
